Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.07067857,23.80695905,21.64886884,22.28489845,22.94455712,6.359706952,21.73202217,19.67384228,21.73275815,27.46460429,31.83690168,27.94248919,31.46639804,31.70306601,27.91829947,30.57275843,29.87195914,29.57040338,27.72927933,28.3268625,
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,7.835266799,13.11986389,17.3358408,17.09985058,20.80067679,20.8816634,16.00906678,20.58064447,20.54160031,25.43237071,28.46417301,23.8652945,22.88171419,24.42357159,16.32412649,15.35138584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3695294,18.29361615,13.69184761,14.02927132,4.276023382,7.546840145,9.513260572,19.22712359,23.55999801,,34.03305709,,
Angola,AGO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,19.34147576,,,,,,,15.13108728,15.67962145,13.39212282,11.8308829,13.0863059,14.37385396,,,,,,,,,,,32.4960491,,,,,,,,,,,,,,,,,,,,,,16.01304155,,13.50347278,15.23177785,18.59612125,20.06791511,17.75401927,16.98007906,13.18562924,13.71486128,17.73517874,20.43647118,,
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27135004,27.18067272,26.94082044,27.35980449,21.83448944,19.38003099,20.17252985,19.62560296,19.26418658,16.24302618,19.96638621,16.43449101,16.43254857,17.08739024,17.94665191,16.63100441,17.3068861,17.72098657,10.32655564,14.49735675,14.14975106,14.85809828,14.04358706,,
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67432852,29.08349215,30.3978806,22.9812749,21.03742667,19.92490609,20.08533563,19.34671059,18.88000945,18.16268942,,18.77130825,17.94818531,20.15219173,21.66480328,22.03465944,22.38749129,23.46553565,23.78007698,23.28000685,23.50684692,23.4667142,22.83051022,22.12322658,,
Arab World,ARB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,20.80654837,16.28751407,,14.66155833,15.10988382,16.4495977,16.43611738,14.69741928,15.53419296,,,,,,,,,,15.1834128,,,,,,16.38003534,15.41173733,14.54965421,14.36380484,14.04851561,13.23815739,12.36139477,11.66416305,12.32286369,11.53376775,12.37489017,12.85693713,13.8149111,12.62156832,11.81214734,12.36773201,12.77301372,13.58988708,13.73565762,13.1345517,12.28529109,
United Arab Emirates,ARE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,11.00698337,10.89452635,11.1169793,10.65101627,9.560862991,12.25165425,,,,,,,,17.15559155,16.11803435,14.87632095,,,,,,11.26486137,11.08482616,9.751689384,7.756803351,7.387463005,6.416966679,6.645525343,6.399717023,6.016359599,6.056882275,6.144778427,6.006562106,6.512326345,5.89138085,5.043142279,5.526833145,5.785919086,5.910808433,6.99833695,7.307037283,6.185105375,
Argentina,ARG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,3.893525052,4.136595077,5.905130597,6.506880909,6.657727595,6.582883768,5.508639814,6.818122915,5.823839226,5.048369675,6.462034562,9.243882301,4.759167861,4.560207041,4.756879695,5.284569618,5.659600409,7.141993341,5.672115447,4.993482232,4.407767058,3.86375449,4.51463855,4.716573692,6.891672407,4.562007874,,,,,5.97842412,5.445567574,5.19108731,5.467574524,4.925200133,5.321024573,4.934998482,4.918758487,5.013470993,5.724283768,4.633028598,4.201287119,3.303077302,2.838739155,2.584461691,3.700364708,4.540660378,3.770976133,2.621328274,2.396798461,2.490853949,2.28184607,2.421654353,2.642779368,3.626406951,4.179297996,6.865362039,6.487755447,
Armenia,ARM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.10178325,,25.78635174,24.96798621,24.24912895,19.85906863,17.23138004,20.48424362,17.66295971,15.3369432,17.31875571,17.97305503,19.07580428,17.66746311,19.373094,18.71496132,19.54044115,18.86186669,19.76181757,19.09424275,18.01111744,16.08555433,16.46456836,
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
