Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15459247,4.418952605,3.329395399,3.556916406,3.959732947,2.888797909,3.159786123,2.334047444,1.489775231,1.976588356,1.43377373,1.661629643,0.678511929,-0.439255047,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.129959798,6.191070856,3.035258862,4.78304299,5.661171391,5.252922051,3.558009386,2.403901287,2.085261533,1.895285988,1.547260324,2.377886243,3.382974554,3.146051596,2.220938432,2.770312639,2.688510469,2.741089951,2.209953904,2.627561737,0.76953022,0.646203121,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.28497955,39.25409987,37.92963676,33.278784,24.97256065,24.13263371,21.27850599,22.36276879,19.9376897,20.45041077,21.86177997,
Angola,AGO,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.353730368,1.94854,2.01107269,2.349168782,1.666145042,2.65061269,2.613029202,9.822397788,8.938557463,23.00596057,8.7272496,7.878823236,5.269350026,6.05457832,8.1060173,4.05719896,3.833587536,3.032978285,3.067842429,5.433905955,1.258893865,0.353915337,0.450826496,0.49323005,0.376378154,0.310608661,0.188985731,0.207096585,0.225171868,0.171990389,0.344612751,0.215471713,0.194750911,0.173923864,0.060935262,
Albania,ALB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271029623,0.458945675,0.545233748,30.79716398,66.38415447,22.20116129,8.607989171,7.412683115,6.927830554,7.286246266,10.2453335,14.85095569,8.861822242,6.59646303,6.867563682,6.039842001,4.08870318,3.830231504,3.537904193,2.812210364,2.820311744,3.013452537,3.0919215,2.943101477,2.855234233,2.077325859,2.106070868,2.909116265,1.418908205,1.289669387,2.275768931,0.188427138,
Andorra,AND,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,0.219906325,0.148680034,-0.020138678,-0.196538763,-0.031144919,0.036887569,0.010443635,0.056642854,-0.008027288,0.014806182,0.005526397,0.025719707,0.021945548,0.022578414,0.027527595,0.029091642,0.029038503,0.041194201,0.057257782,0.047929453,0.037214254,0.035096599,0.043655197,0.046705908,0.069551033,0.078712243,0.118029179,0.287114132,0.126992209,0.151079066,0.118794514,0.105222103,0.063418432,0.058485279,0.045918267,0.034628658,0.02536854,0.029841416,0.026950439,0.060405418,0.106711896,0.096135667,0.066506518,0.053288792,0.05079733,0.032232386,0.035464267,0.03596072,0.031854413,0.01884136,0.033399185,0.006445084,0.009479201,-0.003238681,0.000480435,-0.000186529,0.014651083,0.004267915,
Armenia,ARM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131643243,2.111341295,9.121566249,14.58808352,14.43854799,17.8035081,9.573920428,9.949082393,11.010091,10.9559027,9.691254121,12.0071273,8.634671714,6.87576458,3.380413094,3.221277087,3.626443284,2.396359641,4.503305143,3.295959535,3.580112077,2.450201687,2.375124371,2.204384831,3.164160202,3.024940795,2.157886468,1.117181095,3.01952404,
American Samoa,ASM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,6.960188956,4.115257207,3.057420411,4.223263949,6.198500036,3.080862654,1.860397339,1.134763474,1.238330722,1.985009852,1.87069585,2.302378225,1.10344605,1.113138229,1.608427336,0.994432017,0.585666358,0.739068899,0.412410671,0.637025367,0.660629397,1.411953279,1.459431825,1.263667122,1.106107215,1.747883601,0.688516585,0.217231163,0.821675356,0.295250879,0.39600286,0.463717612,0.361780591,1.753823056,1.398548223,0.180122436,0.139133407,0.214469815,0.118964112,0.013438021,0.741418978,1.151629731,1.73428467,
Australia,AUS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601040458,4.501033452,3.925988777,3.044957338,4.655916769,2.715039698,3.769610524,2.847991201,4.323729185,5.995542733,4.419501067,2.203446534,1.813786402,1.113796158,0.762616507,0.516446596,0.533645216,0.316531471,0.471044702,0.438403789,-0.101132666,0.298283425,0.136306711,0.224407492,0.315884574,0.19575239,0.263076454,
Burundi,BDI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.883605334,3.580320749,5.241179284,2.675027509,3.135829038,3.086123676,5.72259837,6.234599498,7.643800252,8.379570409,7.510091205,8.89374403,10.94275695,9.074859344,11.10704597,11.51230016,10.01944063,8.868425511,12.40588734,12.21487991,12.57846819,12.48775219,12.47071838,12.81767695,14.1327804,12.12084708,16.19787489,17.82510224,18.9245936,18.81236203,23.5004676,22.17698446,28.92143957,23.35762891,34.051145,29.04298648,12.92441842,5.872576082,7.764231132,9.425523392,10.54605188,16.10800225,21.17877061,29.68341993,40.40965179,33.25228887,34.163255,37.36578724,32.37439314,32.63047059,31.0493761,25.79545317,22.5275856,22.77753829,19.09600081,11.81407086,25.09940858,13.7591507,14.82336596,19.50429893,
Belgium,BEL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.008869877,0.629942238,1.590955578,1.682621,6.716316393,6.184524518,4.926933455,5.320088436,4.044033767,4.003068497,4.451453769,8.729695864,4.908974865,5.250051086,5.937645533,8.009530383,7.266523614,6.510637673,6.494154269,7.12546521,6.291574972,6.307845047,6.31648107,7.849002361,7.344836774,9.167204118,10.27935184,8.716843655,9.901305518,18.29540665,13.89252875,13.58458978,16.45638274,12.87675081,16.40367325,13.2005151,12.45261919,9.879464979,8.405199834,5.798498955,6.995464099,7.686022163,5.342825685,5.698813458,6.378684607,5.331675411,5.720634606,5.860688524,6.53920145,7.009295971,7.269393703,6.299143707,4.585979548,5.303310112,4.532304901,3.865472949,4.273313534,5.413401222,4.073595203,4.226855576,
Burkina Faso,BFA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.059720268,0.381962987,1.141573153,1.041599944,3.721979317,4.118876893,3.9011007,4.369375253,4.971150827,5.034609549,4.797075055,5.974187502,5.94500052,8.435433417,12.86187937,9.537654359,8.259347773,9.816953816,10.71230733,11.27828342,10.90905298,12.16453689,12.05087695,11.39106487,12.57654802,12.1858549,13.2409052,11.35857598,11.01753926,10.18862283,10.55380232,13.42523698,19.41430297,20.22898934,23.02465462,20.69863483,16.16533527,15.0935814,14.27925916,11.83718471,6.088024565,12.30031776,12.27041772,11.54130849,11.97459202,11.47903048,13.79343195,12.39889691,10.62572548,11.61123142,10.6511906,8.470715228,9.411690471,7.989475309,8.422566762,8.840688111,8.395879724,6.57087692,7.210891982,7.495593389,
Bangladesh,BGD,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,5.198165015,4.24335997,5.42790348,4.866853493,8.03862622,7.242058562,7.223225697,6.77046877,5.120209729,6.919187,5.480666098,5.701149437,4.337828225,5.801190531,6.510653478,5.122847681,5.039878267,5.549720621,5.098968971,4.614264067,3.420595098,3.976370483,2.642443741,2.02494739,1.7397536,1.905158803,1.902731191,1.771885724,1.651004175,1.418780122,2.080064777,2.092441249,1.725880432,1.354707826,1.544526115,1.789376122,0.978963607,1.065126687,1.035503909,1.489232144,1.625129713,1.313743072,1.248135352,1.081623098,1.452063023,1.062581769,1.414482734,
Bulgaria,BGR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,7.210184933,5.729800694,4.292425906,6.815567279,5.567383138,2.25679221,3.747572196,0.295085259,-0.079785363,-0.050239903,3.08896457,1.969860525,1.674804572,2.225758612,1.798873167,1.724699711,2.17751655,2.458333061,3.31662232,0.974392627,0.683653337,0.818175149,0.679048929,1.245247033,0.46296786,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,-0.026736601,,,0.009546106,0.025531957,0.026444445,0.016693945,0.200684345,0.012756378,0.015041079,0.015702938,0.046075255,0.218195975,0.075608624,0.078529146,0.080508554,0.104148274,0.074674293,0.110701103,0.08845159,0.118254493,0.10905382,0.091242141,0.055823872,0.535181235,0.032708753,0.071650137,0.025289446,0.053564691,0.133770136,0.105238544,0.09412856,0.093510439,0.039141583,0.032036907,0.113081418,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.45591149,59.44946859,33.22133156,25.03182114,18.57519263,23.7589525,12.10474038,10.19007797,7.763169001,6.086832093,6.180579124,4.618106309,4.049677211,3.687443964,2.346313072,2.281482414,2.928309005,3.329588999,3.271681829,2.829535594,3.368286774,2.183559013,2.634199717,2.445424722,1.768649305,2.305038105,
