Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294658668,0.273948793,0.309512297,0.313932032,0.101537876,0.117402728,0.120342209,0.097298132,0.035345887,0.057850352,0.069537387,0.068489209,0.013543394,0.065429932,0.035175564,0.042735879,0.198675497,0.246235246,0.362173038,0.207992522,0.208150745,0.191756667,0.2345933,0.269954101,0.276881879,1.776262825,1.836797823,,,
Afghanistan,AFG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.885729903,1.131073088,2.385172482,1.006030185,1.09699276,1.688459303,1.236852538,1.751257176,3.483846954,4.360010592,4.378073761,4.295098423,
Angola,AGO,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068319092,,,,,,,,,0,0,0,0.092709835,0.000230927,0.021446474,0.000183157,0.031509531,0.026799391,0.021254994,0.009565679,0.003943727,0.001161277,0.001558162,0.003879352,
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27596153,28.00942102,16.32684291,17.85800219,17.21754809,13.29634379,19.80151156,12.67698969,17.1764078,17.82973648,16.87116289,15.83800774,16.15481662,16.01704173,15.28165496,13.74895381,14.4828063,14.26159215,13.30245478,12.04023559,11.52428634,10.03308017,10.74230409,11.33644445,11.01076686,10.07567833,9.627042179,9.63933879,
Andorra,AND,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.298076692,2.108157522,2.294835898,2.042935383,2.163420859,2.186723153,1.938229249,2.080524252,2.061248315,2.271389352,2.406934615,2.447752442,2.787614286,2.596099069,2.511867835,
United Arab Emirates,ARE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,0.044763628,0.06064778,0.072763254,0.053382925,0.03321176,0.026928487,0.040459211,0.030537228,0.028845865,0.030601355,0.023992365,0.034656934,0.016158201,0.010078011,0.006731104,0.024372553,0.024238658,0.02464813,0.02388391,0.022434004,0.022913665,0.022678936,0.030380901,0.070562818,0.211442421,0.214300875,0.189350127,0.217417891,0.232474118,0.210933765,0.195029381,0.188764794,0.152091368,0.131540527,0.105778682,0.096916675,0.096015201,0.083133102,0.070234441,0.074567446,0.097858794,0.118598077,
Armenia,ARM,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.859303746,9.62636146,13.96690809,8.800002298,9.897257954,9.529371336,9.876949218,11.10491554,11.96482723,22.01856943,18.67639576,18.31281893,17.86140781,16.32704918,16.64916469,18.02684075,17.73422351,18.03301895,19.71137504,17.90444031,14.13274122,13.10746416,13.3477448,11.94432078,11.17519079,
American Samoa,ASM,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
