Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021723236,0.184955757,0.111562661,0.105130155,0.08865613,0.097091478,0.349718425,0.603313301,1.700768893,0.173127115,0.20372506,1.293258289,1.97330667,1.824754903,2.588684039,4.379360835,12.82052817,17.11472806,6.434776204,5.306358409,
Afghanistan,AFG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,0.072123099,0.074926261,,,,,,,0.06545706,,0.000120403,0.001209598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137976802,0.275244542,0.305786388,,,,1.065252728,1.124522086,,1.209884383,,
Angola,AGO,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.879103511,,,,,,,12.15077291,12.12204618,10.12973155,7.764274271,6.705172309,4.146125105,,,,0.074690707,0.05795758,0.103770391,0.223165655,,,,,,,,,6.2225979,4.85604896,,,,,,,,,,,,,,,,2.675426153,,2.00203147,2.037629249,1.82030992,1.566715698,1.707311472,2.183667363,3.243921362,3.543058408,3.288811199,2.859334596,,
Albania,ALB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59267246,9.32593913,12.59833037,3.910574222,3.717923305,2.912994995,3.43255984,4.095187299,5.553039184,24.14078258,37.86434557,13.55699072,32.57859998,9.552551841,12.81609803,11.89920608,10.9118332,9.780600271,4.582160143,7.545842737,8.805332626,5.058868899,2.027733356,,
Andorra,AND,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.287740931,2.181807731,1.661165877,1.514173378,2.111251951,2.198266131,2.320019652,2.14867274,2.359953141,2.567041397,2.188963545,1.822002717,2.862751088,3.613301676,2.877100029,4.28347076,3.450458156,3.609957387,3.231222445,3.996977355,4.508606434,2.41509394,2.652244113,3.213028512,,
Arab World,ARB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,3.130688417,3.007911359,,,2.063061306,2.604597795,,,,,,,,,,,,25.54838822,20.59833744,16.60626019,,,,,,1.977829014,1.844897401,2.026562795,1.599395343,1.49265141,1.291458105,1.91566364,1.212023395,1.226206784,1.542238528,1.270915594,1.393236181,1.520306681,2.09519211,1.852258653,2.235247689,2.970408075,3.167257841,3.441541965,3.486071867,2.439451757,
United Arab Emirates,ARE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,0.030986475,0.024904652,,,,42.45171039,,,,,,,,78.09277651,67.73397819,54.88638324,,,,,,4.010404268,3.171231762,3.7098353,2.058972393,1.706109977,1.076683883,0.968747922,1.377976385,1.21861592,0.914523425,0.862793093,1.023646759,1.133310075,1.618644357,1.989321356,3.272149503,4.523681218,4.888548435,5.355396954,6.006503399,3.775022237,
Argentina,ARG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.813335466,0.833818569,0.500304019,0.268986497,0.286643987,0.468486611,0.645334988,0.515775152,0.471868854,0.529028632,0.463152579,0.376045075,0.475331241,0.298571509,0.301816725,0.266728514,0.568331489,0.962451116,2.172933022,1.754551677,1.586687286,1.305303137,1.306328821,1.724138065,1.825666685,2.41126818,,,,,1.168099542,1.159000379,1.311909201,1.631918201,1.166228881,1.545252348,2.726406527,3.274405106,2.952604829,3.052707079,3.866433857,3.00518543,3.917322922,3.215397742,4.222834365,3.815607366,3.201150909,3.757181729,4.291375154,3.938765948,4.060739483,3.178088182,3.264377104,2.749315729,3.214867599,3.19025791,0.475469084,0.440474606,
Armenia,ARM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1086485,,12.73898449,25.75757249,27.42455752,14.44542378,19.21337661,21.28703425,9.408709461,23.53721024,31.4565243,28.54831035,44.0860666,50.77722347,47.96289916,40.22188735,37.47893416,35.23049344,40.97618401,34.66649443,39.44606976,33.90618431,36.12294899,
American Samoa,ASM,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,0,0,0.0007436,,0.005029049,0.002987911,,,0,,,,,,,,,,,,,,,,,,8.989547141,6.464334325,,,,,1.57477541,,0.547547452,,6.144380971,1.776170536,1.980299139,2.702355444,30.99082707,17.53170774,15.62045158,7.506100853,7.272065805,0.307319819,0,
Australia,AUS,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,6.052374499,7.704116144,9.540160365,10.22802324,11.4818313,15.58468365,17.85810929,22.57426792,21.62366883,18.99816927,17.33476904,20.50403137,22.43470624,19.73121624,20.24086385,15.41278157,15.22557184,17.45759662,17.4877109,19.35977616,20.18078033,18.73825857,18.13093287,18.17422738,17.78976663,23.86988076,26.07091922,25.3446135,23.53870061,21.27506524,20.03110921,17.77984485,20.26493725,18.80154443,18.6810631,20.06625472,20.91029038,19.6274302,19.3343557,18.24675669,18.56578798,19.81568537,23.00638254,27.36298855,29.08465916,27.8135739,27.69647291,33.95924775,36.6251495,34.12938179,38.22261498,37.02617716,32.18050413,31.52768685,29.67100124,27.43741814,32.75958183,
Austria,AUT,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,4.741179948,5.219715703,5.05060138,5.288633688,4.419528492,4.342510588,4.315310418,3.776409417,3.361769988,3.01040745,3.155917217,3.132145504,2.3015374,2.623920703,2.850505011,3.37137643,3.604421462,3.585971879,3.416953318,3.263866727,3.71727228,3.84920801,3.613948635,3.344085408,3.561152591,3.679604383,3.637952959,3.21864014,3.00742237,2.833391292,2.663191132,2.834308388,3.314895047,3.204177212,2.630555691,2.517964576,2.225522832,2.534276169,2.415014245,2.241387778,2.51799343,2.603215835,2.703966847,3.274755445,3.358473644,3.376594698,3.075434812,3.838632032,3.822122969,3.725231378,3.239484803,3.079659157,3.270159725,3.142657964,3.395432547,3.131590376,2.907418388,
