Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,4.925194467,4.570656402,3.38449797,2.921822227,2.217400424,1.179546373,1.292875356,1.519198491,1.394298229,1.500180684,1.04027318,0.878653886,1.426411129,1.787498763,1.785034306,2.275344376,2.558115608,2.154840964,0.9370178,0.704990474,0.852870309,0.855744945,1.185993821,2.502648818,3.763546704,1.174719771,3.053450528,3.171214725,3.387887445,4.244713169,5.036316049,4.801479005,4.618731353,4.715358831,
Afghanistan,AFG,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,14.06740466,12.2016567,7.3064036,8.472038872,6.574214392,4.448785153,6.759329312,5.631435527,8.359290522,9.132613575,10.29928755,,,,,,,,,,,,,,,,,,,9.425137288,12.20560502,10.45738727,10.34397288,8.677208854,8.588137666,10.70269485,9.77019396,11.82806038,12.13427664,12.18428959,13.74896154,
Angola,AGO,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636881119,1.115016534,0.755373853,0.424868939,0.830557758,1.928916475,1.060512986,0.515950491,0.722048941,1.258357355,1.997942205,4.324699671,3.891573438,3.744809286,3.361138203,5.410918331,6.030560288,6.614946281,6.288486304,5.146290922,6.482045691,9.083871205,5.818186918,5.412640154,6.42509429,
Albania,ALB,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.515252305,3.463007754,3.682138209,3.454573191,5.890245711,6.330704494,6.563516617,5.704374903,5.74810389,5.626208018,5.44013916,5.701663031,4.862170776,5.251689627,4.778422867,3.969041594,4.308187439,4.855456105,4.232010398,5.043930655,5.403031779,4.873202203,7.037583701,6.543502567,6.574895205,6.370557437,5.944596832,
Andorra,AND,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,20.47158508,,10.19651231,5.572217279,5.498925582,6.850598083,5.11498729,5.203785702,4.794680906,4.489554235,6.553080987,7.243017313,7.530272793,6.297118173,5.084092993,4.481049008,4.29549298,,,,,,,,,,,,,,18.36962839,22.07725181,24.27026409,25.58801389,26.60192112,26.90935881,32.47588792,30.38318711,29.81282156,26.9568843,25.21200885,27.62721063,25.42010139,23.98927638,20.91904276,
United Arab Emirates,ARE,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,5.864907514,8.174252749,11.77246536,13.30517539,6.973002856,3.641995836,4.451287046,2.790053011,2.505728001,5.002369294,4.540152829,3.546871812,4.785784831,2.890490685,5.699578958,5.096205533,5.705061073,6.743860565,5.596781887,5.472482855,5.897895112,5.475660582,5.699148358,6.804642133,6.283222046,4.29371406,5.275431707,5.700137452,5.778377799,7.260297763,7.028972394,8.171534286,6.714258311,9.067499929,7.27697104,5.201951578,5.218290412,3.460152055,3.962999193,3.362144257,5.097196245,6.050387666,7.115209035,5.954376154,
Armenia,ARM,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535743487,0.968725379,1.746636939,2.147419749,2.818960132,3.36647126,3.866500957,3.658244916,3.521153785,4.100495819,3.758380347,3.272535284,3.187633861,4.236971948,4.593343156,3.06209771,5.412026264,4.366228466,4.123849731,3.707780725,4.463321015,2.893080046,4.368414252,5.215389117,4.435582531,3.71347217,4.180572428,
American Samoa,ASM,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,1.391919192,1.44516129,1.672401434,0.690721649,0.586122207,0.644640605,0.960967742,0.99452496,0.911406322,1.024508795,0.891679209,1.061543856,0.873556108,0.849696265,0.964748083,1.444039805,1.068624173,1.21415868,1.514385762,1.147155811,1.206740996,1.359967268,1.482407986,1.365629336,1.804807102,2.007310405,2.345485659,2.221504279,2.057101059,1.919116901,1.707694103,1.608967816,1.991586802,2.271761854,2.566641965,2.595395031,3.138072264,3.565992912,4.458637481,3.813574815,3.464587615,3.211266763,,
Australia,AUS,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.938675826,3.291134234,3.389358285,2.410046612,2.464737006,2.067526908,1.886535433,2.046457027,2.015926573,1.880906394,2.504134147,2.063798988,2.262111901,2.337860991,2.938637941,2.564461024,2.592989203,2.887769414,1.133137991,1.200377946,1.826527579,1.477004063,1.352948579,1.397812712,1.587303664,1.677292835,1.619825164,1.943217753,2.136548866,1.596415798,1.83861735,
Austria,AUT,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802664364,0.790999882,0.910963841,0.773581371,1.028651054,1.201299938,1.109993492,1.301381371,1.150632376,1.192235604,1.271902417,1.248241382,1.059624422,1.020513946,1.071914635,
Azerbaijan,AZE,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.110696168,1.419945636,2.628609547,2.173645707,4.087617891,3.377090964,3.42700845,2.448499427,1.83649475,1.851915709,1.632375656,2.764611277,3.495597087,4.543228507,4.644861753,5.348680668,5.711447137,5.932455486,7.387808935,7.916693677,4.041533942,3.960166129,3.978555162,3.67009318,3.956194843,
Burundi,BDI,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,1.627108678,3.127271008,2.569638576,2.990633725,4.725594228,3.92654765,4.944137105,6.227697006,6.572442319,8.866430338,9.202326196,11.03416265,9.59411601,4.78644929,4.762512215,2.738971923,1.330251575,4.433784892,4.170610663,3.144422693,3.509152265,3.418265192,4.71501666,5.248281257,7.206232213,6.440553776,4.486259997,3.927975913,4.267816341,4.026358342,1.922750083,1.515020736,1.300543184,0.892541249,,
Belgium,BEL,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815644836,0.717698269,0.573976383,0.436074309,0.438443569,0.441199612,0.363632268,0.693634374,0.715609599,0.680513279,0.767489599,0.653961116,0.601962591,0.699058115,0.645305051,0.663471762,0.615343417,0.694591999,
Benin,BEN,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,3.509092747,2.295150054,2.330479359,2.293874135,1.368649569,0.639674263,0.888940135,2.669796059,1.657890414,1.464812012,1.756445781,3.378501902,3.661313983,1.511842048,1.911982648,3.986978453,5.162267109,6.161061934,6.846786204,3.660176641,2.934933112,2.406419186,2.847088957,2.133950145,1.815687935,1.564122294,2.188215741,2.755214499,2.875243276,2.170862349,2.613532304,3.049792723,2.632714358,5.063731302,4.320879222,2.783552298,3.851254808,4.909747815,5.581685265,6.83091399,7.603877021,6.768864991,5.676269096,5.838359062,
Bulgaria,BGR,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853749904,2.681257051,2.061573215,3.061702227,2.770018176,1.5892774,6.162049507,5.57541562,5.586998477,5.06208595,4.726853829,6.231242063,6.281397505,6.199182721,4.736493473,4.918851566,5.275418303,4.771275088,7.417316064,7.100397956,5.589438575,6.681436662,6.022308177,6.102119757,7.541213692,8.450208667,8.226335013,7.490409666,7.544194525,
Bahrain,BHR,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,2.433077519,2.656445962,2.534817777,2.335114421,2.629373911,3.138375543,4.082433152,4.373757173,4.636642641,3.914878067,5.155429903,5.866023968,4.019355053,4.429786471,3.237752278,1.672575882,2.430091651,2.451756422,2.446044195,1.970228996,1.941822411,1.94179853,1.794324435,1.517308595,1.773551992,1.648782706,2.323642874,2.724422071,2.773728844,2.13246205,1.566844455,1.774869051,2.236452798,2.001441586,3.116479719,3.754923309,2.341202172,2.272483546,2.099181161,2.465660798,1.61971116,1.246395832,1.210828824,0.884157755,,
"Bahamas, The",BHS,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,0.937600743,1.267579948,0.915742734,1.067827803,0.913557207,0.942223819,1.084285342,1.084453801,1.373751276,1.442491994,1.778818988,1.228712689,1.246412487,0.87165982,0.922291902,1.103159991,1.105766402,1.189158951,1.151994664,1.071659773,0.91956394,1.087647107,1.352969994,1.573599715,1.210582882,1.212045724,1.494062982,1.911839527,2.409166318,1.784367707,1.174179794,1.139979351,1.41959821,3.074267378,3.096663201,2.822853588,1.93940748,1.87358841,1.885257206,2.296638521,2.427531056,3.183378014,2.75613543,3.926824072,
Bosnia and Herzegovina,BIH,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510411287,1.212144757,1.407622273,3.32223711,3.304903116,3.543720666,4.012736857,3.773032574,5.190995512,6.32011819,4.505236144,6.208386044,5.809766556,4.662793091,5.24678805,5.86502058,5.297642256,6.291304322,6.512758235,7.008289585,6.648019349,7.32401568,
Belarus,BLR,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375371897,0.779330035,0.762907593,0.536478422,1.02389177,0.525639078,0.547129694,0.548780016,0.899079517,0.653642498,0.603975857,0.924818683,0.710745876,1.653173796,0.875042919,2.167617964,1.570380669,1.894292211,1.888342252,1.599238205,1.290959515,1.399848679,1.794213675,2.226787054,1.922856171,2.482466139,
